location,lats,longs
تهران،تهران،دبستان  -  مجیدیه,51.4682148,35.7399628
تهران،تهران،امامت,51.4910729,35.7133845
تهران،تهران،تهران نو,51.489291,35.7094244
تهران،تهران،زرکش,51.479839,35.7162761
تهران،تهران،شهرک بنفشه(کرج),51.00022528446343,35.78440775932215
تهران،تهران،بسیج,51.4900951,35.6665217
تهران،تهران،خزانه,51.4204924,35.6407457
تهران،تهران،آزادگان(کرج),51.5073312,35.7478156
تهران،تهران،خواجه نظام الملک,51.4478501,35.7135374
تهران،تهران،بلوار تعاون,51.80686,35.7444754
تهران،تهران،جاده سنگر,50.848724680644246,35.906112752000475
البرز،کرج،حسین آباد(کرج),50.9058592,35.8309664
البرز،کرج،گرمدره(کرج),51.0535705,35.7590214
تهران،تهران،عظیمیه(کرج),51.01767561333615,35.842267664028846
البرز،کرج،بلوار مرزداران,51.34793559273324,35.73412683067933
تهران،تهران،بلوار ارتش شرق,51.498780929179276,35.79973831576269
تهران،تهران،دروس,51.4566868,35.7727353
تهران،تهران،سراج,51.3847146,35.6608538
البرز،کرج،تهران_آزادی,50.97340055810474,35.83784885
تهران،تهران،پردیسان,51.8350378,35.7428918
تهران،تهران،بلوار مدرس,51.4276734,35.5886972
تهران،تهران،نیاوران,51.4623212,35.8082586
تهران،تهران،فردوس غرب,51.3305235,35.7185224
تهران،تهران،میدان شهدا,51.447423,35.6901546
تهران،تهران،میدان ابوذر,51.50539592403846,35.75684475
تهران،تهران،بلوار شهرداری(کرج),50.901499543980016,35.79760961162013
تهران،تهران،شیوا,51.4688149,35.6805413
تهران،تهران،پرستار,51.4837882,35.6883581
تهران،تهران،ستاری,51.5023433,35.650914
البرز،کرج،مشکین دشت(کرج),50.93908998446427,35.84005235141332
البرز،کرج،میرداماد,50.9679056,35.821127
تهران،تهران،سپاهان‌شهر (حومه),51.443015077078584,35.75434241403762
تهران،تهران،مطهری,51.4414624,35.649898
تهران،تهران،شالمان,51.36522976912131,35.70767236540413
تهران،تهران،یوسف آباد,51.4045663,35.7346597
تهران،تهران،طالقانی,51.5157089,35.7414742
تهران،تهران،اتوبان صیاد شیرازی,51.465589943979154,35.75740928206253
البرز،کرج،هروی,51.47544528872725,35.76438641083726
تهران،تهران،الهیه,51.4262023,35.7898612
تهران،تهران،حسینی  -  فردوس,51.326978149929595,35.664839799999996
تهران،تهران،ولیعصر,51.41231164894516,35.707514849999995
تهران،تهران،فرودگاه,51.4660436,35.7070938
تهران،تهران،کرج - کرج,50.99895021041451,35.80457835
البرز،کرج،آزادگان(کرج),50.9977848,35.7880488
البرز،کرج،شهرک اندیشه فاز 3(کرج),51.01807703844003,35.70243019125083
تهران،تهران،محمودیه,51.4126953,35.7964156
تهران،تهران،آیت الله سعیدی,51.449415,35.6681566
تهران،تهران،شهرک صنعتی شماره 2 (ایبک آباد),51.36448333588806,35.45468577952162
تهران،تهران،کارون,51.3666482,35.6935133
تهران،تهران،آیت الله کاشانی,51.6545701,35.3167837
البرز،کرج،ولنجک,51.4017004491027,35.804438335128744
تهران،تهران،شهرک محلاتی,51.5165779,35.8035965
البرز،کرج،کرج - شهرک بنفشه,50.8446579,35.742015
البرز،کرج،گوهردشت(کرج),50.982075343504846,35.84895065
تهران،تهران،اتوبان تهران کرج,51.0801833,35.7507798
تهران،تهران،مرتضوی,51.3747635,35.6843769
تهران،تهران،مشهد,51.447903,35.6659115
تهران،تهران،اشرفی اصفهانی,51.4996367,35.6434437
تهران،تهران،کلاک(کرج),51.02078674191817,35.791282767815055
تهران،تهران،شمشیری,51.3398874,35.6722911
تهران،تهران،مارلیک(کرج),50.964803655391115,35.69245277052114
تهران،تهران،آزادگان,51.3352468,35.627521
البرز،کرج،ولیعصر,50.9421932,35.8413676
تهران،تهران،تولید دارو,51.3378347,35.663724
