,0
خراسان رضوی،مشهد،شهرک‌ شهید رجایی,303
قم،قم،توحید,298
اصفهان،اصفهان،کاوه,296
آذربایجان شرقی،تبریز،گاگشت,296
تهران،تهران،امامزاده حسن,292
تهران،تهران،کارگر شمالی,289
اصفهان،اصفهان،سایر مناطق (داخل شهر),283
تهران،تهران،اتوبان محلاتی,278
آذربایجان شرقی،تبریز،حجتی غربی,277
خراسان رضوی،سبزوار،پرستش,274
تهران،تهران،دروازه دولت,272
تهران،تهران،تهران نو,269
تهران،تهران،بزرگراه یادگار امام جنوب,262
البرز،کرج،سایر- کرج,261
البرز،کرج،طالقانی(کرج),260
تهران،تهران،تهرانسر,259
تهران،تهران،هاشمی,256
گیلان،رشت،جانبازان,254
البرز،کرج،کیانمهر(کرج),253
اصفهان،اصفهان،امام خمینی,250
گیلان،رشت،سبزه میدان,250
تهران،تهران،شاد آباد,248
تهران،تهران،مشیریه,247
تهران،تهران،نامجو,244
اصفهان،اصفهان،برازنده,242
آذربایجان شرقی،تبریز،عباسی,241
تهران،تهران،میدان حر,239
تهران،تهران،امیریه,237
تهران،تهران،ابوذر (منطقه 15),237
اصفهان،اصفهان،خوراسگان,234
تهران،تهران،جوانمرد قصاب,233
تهران،تهران،اختیاریه,230
قم،قم،پردیسان,227
البرز،کرج،کلاک(کرج),224
تهران،تهران،کیانشهر,224
تهران،تهران،شمشیری,224
تهران،تهران،فاطمی,223
تهران،تهران،میدان سپاه,223
آذربایجان شرقی،تبریز،یکه دکان,215
تهران،تهران،امام علی,214
تهران،تهران،حکیمیه,213
کردستان،سنندج،ملارد(کرج),213
تهران،تهران،سرآسیاب مهرآباد,212
البرز،کرج،مارلیک(کرج),212
تهران،تهران،استاد معین,211
خراسان رضوی،مشهد،هدایت,211
تهران،تهران،دهکده المپیک,210
کرمان،کرمان،شهاب,209
کردستان،سنندج،شهرک مولوی,207
تهران،تهران،عباس آباد  -  اندیشه,207
اصفهان،اصفهان،قائمیه,204
تهران،تهران،اتوبان تهران کرج,204
تهران،تهران،باغ خزانه,204
تهران،تهران،جاده قدیم کرج,203
تهران،تهران،شهرک محلاتی,197
تهران،تهران،شهرک راه آهن,194
تهران،تهران،محمد شهر(کرج),193
تهران،تهران،چهاردانگه,190
تهران،تهران،اجاره دار,189
آذربایجان شرقی،تبریز،ائل گلی,183
تهران،تهران،زمزم,182
آذربایجان شرقی،تبریز،رسالت غربی,182
فارس،شیراز،فرصت شیرازی,182
خوزستان،اهواز،آخر آسفالت,178
تهران،تهران،دولت,175
خراسان رضوی،مشهد،قیام,174
تهران،تهران،مرزداران,173
اصفهان،اصفهان،رباط,169
تهران،تهران،شهرک ژاندارمری,169
خوزستان،اهواز،زیتون کارمندی,169
خراسان رضوی،مشهد،سجاد,169
تهران،تهران،خیابان بهشتی,168
فارس،شیراز،صدرا فاز یک,167
تهران،تهران،سایر مناطق (خارج شهر),165
تهران،تهران،هنگام,165
خراسان رضوی،مشهد،سرافرازان,164
تهران،تهران،صادقیه,163
تهران،تهران،فلسطین  -  انقلاب,162
خراسان رضوی،مشهد،۱۷ شهریور,161
تهران،تهران،بازار,160
تهران،تهران،هروی,160
اصفهان،اصفهان،عباس‌آباد,160
یزد،یزد،میدان امام حسین,159
اصفهان،اصفهان،شاهین شهر,158
آذربایجان شرقی،تبریز،ثقه الاسلام,158
تهران،تهران،تولید دارو,157
تهران،تهران،چمران,157
تهران،تهران،سازمان برنامه,157
اصفهان،اصفهان،چمران,157
تهران،تهران،دربند,156
فارس،شیراز،بلوار مدرس,155
تهران،تهران،کیانمهر(کرج),153
گیلان،رشت،جاده فومن,152
اصفهان،اصفهان،طوقچی  ( میدان قدس),152
خراسان رضوی،مشهد،نماز,152
همدان،همدان،دره مرادبیگ,151
اصفهان،اصفهان،چهارباغ پایین,150
تهران،تهران،میدان قدس,150
خراسان رضوی،مشهد،ابوطالب,149
فارس،شیراز،فخرآباد,149
البرز،کرج،شاهین ویلا(کرج),149
فارس،شیراز،شهرک صنعتی,147
تهران،تهران،صفا,147
تهران،تهران،رودهن,144
کرمان،کرمان،استقلال,142
قم،قم،امامزاده ابراهیم,141
فارس،شیراز،شهرک مطهری,133
تهران،تهران،شهر قدس(کرج),133
خراسان رضوی،مشهد،طلاب,132
تهران،تهران،دزاشیب  -  جوزستان,131
آذربایجان شرقی،تبریز،گلشهر,130
تهران،تهران،ظفر,130
تهران،تهران،لشکر,130
البرز،کرج،شاه عباسی(کرج),129
فارس،شیراز،فلکه گاز (آزادی),128
آذربایجان شرقی،تبریز،ارم,127
تهران،تهران،گلبرگ غربی,126
تهران،تهران،فداییان اسلام,125
تهران،تهران،تهران,125
خراسان رضوی،مشهد،رسالت,124
گیلان،رشت،خ لاهیجان,124
تهران،تهران،سهروردی,124
البرز،کرج،مصباح(کرج),123
تهران،تهران،استاد حسن بنا,122
تهران،تهران،فدک,121
تهران،تهران،تهرانپارس,120
کرمان،کرمان،بزرگراه هاشمی رفسنجانی,120
اصفهان،اصفهان،نصرآباد ( اتشگاه),119
تهران،تهران،منظریه(کرج),119
تهران،تهران،طبرستان,118
تهران،تهران،تختی,118
البرز،کرج،درختی(کرج),117
تهران،تهران،کرمان,117
اصفهان،اصفهان،عبد الرزاق,116
کردستان،سنندج،بهاران 19/2,116
خراسان رضوی،مشهد،هروی,116
اصفهان،اصفهان،آبشار,115
تهران،تهران،بهشت زهرا,115
فارس،شیراز،بلوار فضیلت,113
آذربایجان شرقی،تبریز،میدان آذربایجان,113
خراسان رضوی،مشهد،امامت,112
گیلان،رشت،فلکه گاز,108
کرمان،کرمان،با قدرت,108
خراسان رضوی،مشهد،امام خمینی,107
تهران،تهران،پرستار,106
تهران،تهران،الهیه,105
اصفهان،اصفهان،هشت‌بهشت,104
آذربایجان شرقی،تبریز،سیلاب,104
تهران،تهران،شهرک اوج(کرج),102
خراسان رضوی،مشهد،امام خمینی,102
خوزستان،اهواز،باغ معین,102
آذربایجان شرقی،تبریز،اندیشه,102
فارس،شیراز،زند,101
تهران،تهران،فرشته,101
تهران،تهران،سایر- کرج,101
خوزستان،اهواز،نبوت,101
تهران،تهران،شیخ بهایی,100
آذربایجان شرقی،تبریز،سرآسیاب مهرآباد,99
کردستان،سنندج،فرجه,97
خراسان رضوی،مشهد،طرق,96
اصفهان،اصفهان،سپاهان شهر,95
همدان،همدان،شهرک شهید آیت الله مدنی,95
تهران،تهران،کن,94
تهران،تهران،کرج - کرج,93
تهران،تهران،دولت اباد,93
فارس،شیراز،پایگاه هوایی,93
تهران،تهران،بلوار فردوس,92
فارس،شیراز،سایر مناطق (داخل شهر),91
تهران،تهران،سعدی,90
خراسان رضوی،مشهد،بهارستان,90
البرز،کرج،جنت آباد,88
آذربایجان شرقی،تبریز،آبرسان,87
آذربایجان شرقی،تبریز،حیدرآباد,87
قم،قم،جمهوری,86
آذربایجان شرقی،تبریز،یاغچیان,85
تهران،تهران،امیرآباد,85
اصفهان،اصفهان،خمینی‌شهر,85
کرمان،کرمان،محله سرآسیاب,84
تهران،تهران،آجودانیه,83
تهران،تهران،گاندی,82
تهران،تهران،آگاهی,82
آذربایجان شرقی،تبریز،شریعتی جنوبی,81
قم،قم،انقلاب (چهارمردان),81
فارس،شیراز،بلوار عدالت,80
البرز،کرج،هشتگرد,80
تهران،تهران،شهریار(کرج),80
البرز،کرج،شهر جدید هشتگرد,79
تهران،تهران،قصر,79
تهران،تهران،زعفرانیه,78
تهران،تهران،خیابان کارگر جنوبی,78
تهران،تهران،جی – شبیری,77
تهران،تهران،شهران,77
